project,n_reqs,with_smell,pct,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
P-A,1312,1126,85.8,2,975,49,651,900,32,136,34,46,11,0,0,1,0,4,0,0,24,12
P-B,10108,8670,85.8,14,7632,970,1964,5786,539,3312,520,618,318,5,3,50,0,134,0,0,215,181
P-C,355,327,92.1,25,190,83,26,91,119,63,31,47,44,1,5,12,0,0,1,1,131,24
P-D,930,869,93.4,1,758,58,493,704,25,151,80,27,7,0,0,4,0,0,0,0,30,13
P-E,181,139,76.8,0,66,11,102,45,11,25,2,5,7,1,0,1,0,0,0,0,13,4
P-F,1056,1034,97.9,198,790,276,78,732,170,612,190,138,146,0,12,28,0,22,0,0,338,38
P-G,30,23,76.7,0,18,5,8,12,5,7,0,2,0,0,0,0,0,0,0,0,0,2
P-H,306,229,74.8,0,196,25,99,158,10,35,13,10,10,0,1,1,0,2,0,0,7,4
