doc_id,source,sentence,has_smell,smell_codes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"유지보수기간 1년 중, ‘품질안정화 기간’을 설정하고 상주인력을 명시함 - 품질안정화기간은 최소 2개월 이상으로 설정하고, 기술지원 인력이 반드시 포함되어야 함 유지보수 업무수행을 총괄 관리하는 2인 이상의 상시조직을 구성하여, 주관기관이 지정하는 장소에서 상주 운영하여야 함",1,"S1, S3, S5, S9, S18",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,주관사업자는 검수완료 후 하자보수기간 내 월 1회의 정기적인 예방점검 및 수시점검을 실시하여 시스템의 정상운영에 차질이 초래되지 않도록 하여야 함,1,"S3, S18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,하자보수 지원은 공무원 근무시간을 기준으로 하되 발주기관의 요구가 있을 경우 근무시간 및 휴일에 관계없이 지원하여야 함,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"기록물정리 상태 불량, 색인데이터 오류, 색인목록 불량 등 구축된 색인목록DB의 오류 발생 시 즉각적인 조치가 가능하도록 전문인력을 확보하여 항시 운영 가능하도록 하여야 함 산출 정보 하자보수 계획서 및 결과보고서 관련 요구사항 제안서 포함 서식 【서식1】 총 괄 표 업 체 명 1.",1,"S3, S5, S8, S18",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"예를 들어, 사용가능하다, 할 수 있다, 고려하고 있다 등과 같이 모호한 표현은 평가시 불가능한 것으로 간주하며, 계량화가 가능한 것은 계량화하여야 함 ❍ 제안서의 내용은 일반적인 방법론의 나열이 아닌 당 사업의 수행에 대한 구체적인 방법과 대안을 제시할 것 ❏유의사항 ❍ 제안서는 입찰시 직접 제출하여야 하며, 우편접수는 불가함 ❍ 제안서의 내용을 객관적으로 입증할 수 있는 관련 자료는 제안서의 별첨으로 제출하여야 함(사본 제출 시 “원본과 상위 없음”을 날인하여 제출) 3.",1,"S1, S5, S18",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"기타 제안사는 해당사업의 제안요청 내용을 명확하게 이해하고 본 제안의 목적, 범위, 전제조건 및 제안의 특징 및 장점을 요약하여 기술하여야 한다.",1,"S8, S18",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"제안사의 일반현황 및 주요 연혁, 최근 3년간의 자본금 및 부문별 매출액을 명료하게 제시하여야 한다.",1,"S3, S18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,제안사의 조직 및 인원현황을 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,제안사의 주요 사업내용을 분야별로 구분하여 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,제안사의 주요 사업실적을 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
